NAME OF WORK :- CONSTRUCTION OF COMMERCIAL COMPLEX FOR PANCHAYAT SAMITI GIRWA, UDAIPUR											
											
PART 'A'  CIVIL WORK FIRST  FLOOR 											
DETAILS OF MEASUREMENTS											
S.N.	Particulars	Nos.		Length		Breadth 		Height		Qty.	Units
	Center to center distances										
	Ground Floor 										
	 Main walls 230 mm th. in x and Y Direction										
	Back Side	1	x	3.58					=	3.58	RM
		1	x	6.40					=	6.40	RM
		1	x	3.20					=	3.20	RM
		1	x	3.20					=	3.20	RM
		1	x	5.33					=	5.33	RM
	Left Side	1	x	7.62					=	7.62	RM
		1	x	4.27					=	4.27	RM
		1	x	7.62					=	7.62	RM
	Front Side	1	x	3.58					=	3.58	RM
		1	x	3.20					=	3.20	RM
	Right Side	1	x	25.60					=	25.60	RM
	Staircase	2	x	3.35					=	6.70	RM
	Lobby/ Shop	1	x	5.49					=	5.49	RM
								TOTAL	=	85.79	RM
											
	PARAPET WALL 230 MM										
	Back Side	1	x	3.58					=	3.58	RM
		1	x	6.40					=	6.40	RM
		1	x	3.20					=	3.20	RM
		1	x	3.20					=	3.20	RM
		1	x	5.33					=	5.33	RM
	Left Side	1	x	7.62					=	7.62	RM
		1	x	4.27					=	4.27	RM
		1	x	7.62					=	7.62	RM
	Front Side	1	x	3.58					=	3.58	RM
		1	x	3.20					=	3.20	RM
	Right Side	1	x	25.60					=	25.60	RM
								TOTAL	=	73.60	RM
	 Brick Partition walls in X and Y Direction										
	Shops 2,3	3	x	7.39					=	22.17	RM
	Shops 6,7 in Y Direction	2	x	5.49					=	10.98	RM
	Shops 6,1 in X Direction	2	x	3.35					=	6.70	RM
	Shop 7 in X Direction	1	x	3.05					=	3.05	RM
	Shop 4 in X Direction	1	x	5.26					=	5.26	RM
	Shop 5 in X Direction	1	x	3.66					=	3.66	RM
	Shop 8 in Y Direction	1	x	5.49					=	5.49	RM
	Toilets in Y Direction	2	x	2.13					=	4.26	RM
								TOTAL	=	61.57	RM
											
1	Earth work in excavation in foundation trenches or drains including dressing of sides and ramming of bottoms, lift up to 1.5 Mtr. including taking out the excavated soil and depositing and refilling of jhiri with watering & ramming and disposal of surplus excavated soil as directed within a lead of 50 meter.  All kinds of soil.										
	Average Width (49.83+18.44)/2=34.14	1	x	34.14	x	37.80	x	1.20	=	1548.59	Cum
											
						Total 				1548.59	Cum
2	Filling available excavated earth (excluding rock) in trenches, plinth side of foundation etc. in layers not exceeding 20 cm. in depth , consolidating  each deposited layer by ramming and watering including lead upto 50Mtr. and lift upto 1.5Mtr.							0			
	Average Width (49.83+18.44)/2=34.14										
	Area of Open Excavation 	1	x	34.14	x	37.80			=	1290.49	Sqm
	Deductions										
	Footing Area										
	C1	1	x	2.00	x	2.30			=	4.60	Sqm
	C2	1	x	2.40	x	2.70			=	6.48	Sqm
	C3	1	x	2.90	x	3.10			=	8.99	Sqm
	C4	1	x	2.10	x	2.30			=	4.83	Sqm
	C5	1	x	2.90	x	3.10			=	8.99	Sqm
	C6	1	x	2.70	x	2.90			=	7.83	Sqm
	C7	1	x	2.70	x	2.90			=	7.83	Sqm
	C8	1	x	2.10	x	2.30			=	4.83	Sqm
	C9	1	x	2.90	x	3.10			=	8.99	Sqm
	C10	1	x	2.90	x	3.10			=	8.99	Sqm
	C11	1	x	2.40	x	2.60			=	6.24	Sqm
	C12	1	x	3.00	x	3.20			=	9.60	Sqm
	C13	1	x	1.80	x	2.00			=	3.60	Sqm
	C14	1	x	2.60	x	2.80			=	7.28	Sqm
	C15	1	x	2.50	x	2.70			=	6.75	Sqm
	C16	1	x	2.10	x	2.30			=	4.83	Sqm
	C17	1	x	2.20	x	2.50			=	5.50	Sqm
	C18	1	x	2.30	x	2.50			=	5.75	Sqm
						Total Deductions			-	121.91	Sqm
											
	Net earth Filling Area			1290.49	-	121.91			=	1168.58	Sqm
											
	Qty. in Filling			1168.58	x	1.00			=	1168.58	Cum
						Total 				1168.58	Cum
3	Providing and injection Chloropyrifous Emulsifiable  concentrate 20 % with 1 % concentration for PRE-CONSGTRUCTIONAL Anti termite treatment as per IS 6313 part III and amended from time to time and creating a continous chemical barrier under and around the column pits, wall trenches, basement excavation, top surface of plinth filling, junction of wall and floor along the external perimeter of building expansion joints, over the top surface of consolidated earth of which aproch is to be laid surrounding of pipes and conduits etc. complete as per specification (Plinth floor area only shall be measured for payment.)										
	Average Width (49.83+18.44)/2=34.14										
	Area of Open Excavation 	1	x	34.14	x	37.80			=	1290.49	Sqm
						Total 				1290.49	Sqm
4	Providing and laying in position cement concrete including curing compaction etc. of specified grade excluding the cost of centering and shuttering =All up to plinth leve 1:4:8 (1Cement :4 Coarse  Sand :8 Graded stone aggregate 40 mm nominal size										
	FOOTING										
	F1	1	x	2.00	x	2.30	x	0.30	=	1.38	Cum
	F2	1	x	2.40	x	2.70	x	0.30	=	1.94	Cum
	F3	1	x	2.90	x	3.10	x	0.30	=	2.70	Cum
	F4	1	x	2.10	x	2.30	x	0.30	=	1.45	Cum
	F5	1	x	2.90	x	3.10	x	0.30	=	2.70	Cum
	F6	1	x	2.70	x	2.90	x	0.30	=	2.35	Cum
	F7	1	x	2.70	x	2.90	x	0.30	=	2.35	Cum
	F8	1	x	2.10	x	2.30	x	0.30	=	1.45	Cum
	F9	1	x	2.90	x	3.10	x	0.30	=	2.70	Cum
	F10	1	x	2.90	x	3.10	x	0.30	=	2.70	Cum
	F11	1	x	2.40	x	2.60	x	0.30	=	1.87	Cum
	F12	1	x	3.00	x	3.20	x	0.30	=	2.88	Cum
	F13	1	x	1.80	x	2.00	x	0.30	=	1.08	Cum
	F14	1	x	2.60	x	2.80	x	0.30	=	2.18	Cum
	F15	1	x	2.50	x	2.70	x	0.30	=	2.03	Cum
	F16	1	x	2.10	x	2.30	x	0.30	=	1.45	Cum
